country,database,country_name,region,pop
AustralianCapitalTerritory_Australia,JHU,Australia,Australian Capital Territory,0
Externalterritories_Australia,JHU,Australia,External territories,0
JervisBayTerritory_Australia,JHU,Australia,Jervis Bay Territory,0
NewSouthWales_Australia,JHU,Australia,New South Wales,0
NorthernTerritory_Australia,JHU,Australia,Northern Territory,0
Queensland_Australia,JHU,Australia,Queensland,0
SouthAustralia_Australia,JHU,Australia,South Australia,0
Tasmania_Australia,JHU,Australia,Tasmania,0
Victoria_Australia,JHU,Australia,Victoria,0
WesternAustralia_Australia,JHU,Australia,Western Australia,0
Alberta_Canada,JHU,Canada,Alberta,0
BritishColumbia_Canada,JHU,Canada,British Columbia,0
Manitoba_Canada,JHU,Canada,Manitoba,0
NewBrunswick_Canada,JHU,Canada,New Brunswick,0
NewfoundlandandLabrador_Canada,JHU,Canada,New found land and Labrador,0
NorthwestTerritories_Canada,JHU,Canada,Northwest Territories,0
NovaScotia_Canada,JHU,Canada,Nova Scotia,0
Ontario_Canada,JHU,Canada,Ontario,0
PrinceEdwardIsland_Canada,JHU,Canada,Prince Edward Island,0
Quebec_Canada,JHU,Canada,Quebec,0
Saskatchewan_Canada,JHU,Canada,Saskatchewan,0
Yukon_Canada,JHU,Canada,Yukon,0
Anhui_China,JHU,China,Anhui,0
Beijing_China,JHU,China,Beijing,0
Chongqing_China,JHU,China,Chongqing,0
Fujian_China,JHU,China,Fujian,0
Gansu_China,JHU,China,Gansu,0
Guangdong_China,JHU,China,Guangdong,0
Guangxi_China,JHU,China,Guangxi,0
Guizhou_China,JHU,China,Guizhou,0
Hainan_China,JHU,China,Hainan,0
Hebei_China,JHU,China,Hebei,0
Heilongjiang_China,JHU,China,Heilong jiang,0
Henan_China,JHU,China,Henan,0
HongKong_China,JHU,China,Hong Kong,7451000
Hubei_China,JHU,China,Hubei_China,0
InnerMongolia_China,JHU,China,Inner Mongolia,0
Jiangsu_China,JHU,China,Jiangsu,0
Jiangxi_China,JHU,China,Jiangxi,0
Jilin_China,JHU,China,Jilin,0
Liaoning_China,JHU,China,Liaoning,0
Macau_China,JHU,China,Macau,631636
Ningxia_China,JHU,China,Ningxia,0
Qinghai_China,JHU,China,Qinghai,0
Shaanxi_China,JHU,China,Shaanxi,0
Shandong_China,JHU,China,Shandong,0
Shanghai_China,JHU,China,Shanghai,0
Shanxi_China,JHU,China,Shanxi,0
Sichuan_China,JHU,China,Sichuan,0
Tianjin_China,JHU,China,Tianjin,0
Tibet_China,JHU,China,Tibet,0
Xinjiang_China,JHU,China,Xinjiang,0
Yunnan_China,JHU,China,Yunnan,0
Zhejiang_China,JHU,China,Zhejiang,0
AmericanSamoa_UnitedStates,JHU,United States,American Samoa,55465
Guam_UnitedStates,JHU,United States,Guam,165768
NorthernMarianaIslands_UnitedStates,JHU,United States,Northern Mariana Islands,56882
PuertoRico_UnitedStates,JHU,United States,Puerto Rico,7021841
VirginIslands_UnitedStates,JHU,United States,Virgin Islands,106977
Alabama_UnitedStates,JHU,United States,Alabama,4887871
Alaska_UnitedStates,JHU,United States,Alaska,781305
Arizona_UnitedStates,JHU,United States,Arizona,7171646
