country,database,country_name,region,pop
Georgia_UnitedStates,JHU,United States,Georgia,10519475
Hawaii_UnitedStates,JHU,United States,Hawaii,1420491
Idaho_UnitedStates,JHU,United States,Idaho,1754208
Illinois_UnitedStates,JHU,United States,Illinois,12741080
Indiana_UnitedStates,JHU,United States,Indiana,6691878
Iowa_UnitedStates,JHU,United States,Iowa,3156145
Kansas_UnitedStates,JHU,United States,Kansas,2911505
Kentucky_UnitedStates,JHU,United States,Kentucky,4468402
Louisiana_UnitedStates,JHU,United States,Louisiana,4659978
Maine_UnitedStates,JHU,United States,Maine,1338404
Maryland_UnitedStates,JHU,United States,Maryland,5214287
Massachusetts_UnitedStates,JHU,United States,Massachusetts,6902149
Michigan_UnitedStates,JHU,United States,Michigan,9995915
Minnesota_UnitedStates,JHU,United States,Minnesota,5611179
Mississippi_UnitedStates,JHU,United States,Mississippi,2986530
Missouri_UnitedStates,JHU,United States,Missouri,5129507
Montana_UnitedStates,JHU,United States,Montana,1062305
Nebraska_UnitedStates,JHU,United States,Nebraska,1929268
Nevada_UnitedStates,JHU,United States,Nevada,3034392
NewHampshire_UnitedStates,JHU,United States,New Hampshire,1356458
NewJersey_UnitedStates,JHU,United States,New Jersey,8908520
NewMexico_UnitedStates,JHU,United States,New Mexico,2312950
NewYork_UnitedStates,JHU,United States,New York,19542209
NorthCarolina_UnitedStates,JHU,United States,North Carolina,10383620
NorthDakota_UnitedStates,JHU,United States,North Dakota,760077
Ohio_UnitedStates,JHU,United States,Ohio,11689442
Oklahoma_UnitedStates,JHU,United States,Oklahoma,3943079
Oregon_UnitedStates,JHU,United States,Oregon,4190713
Pennsylvania_UnitedStates,JHU,United States,Pennsylvania,12807060
RhodeIsland_UnitedStates,JHU,United States,Rhode Island,1057315
SouthCarolina_UnitedStates,JHU,United States,South Carolina,5084127
SouthDakota_UnitedStates,JHU,United States,South Dakota,882235
Tennessee_UnitedStates,JHU,United States,Tennessee,6770010
Texas_UnitedStates,JHU,United States,Texas,28701845
Utah_UnitedStates,JHU,United States,Utah,3161105
Vermont_UnitedStates,JHU,United States,Vermont,626299
Virginia_UnitedStates,JHU,United States,Virginia,8787824
Washington_UnitedStates,JHU,United States,Washington,7535591
WestVirginia_UnitedStates,JHU,United States,West Virginia,1805832
Wisconsin_UnitedStates,JHU,United States,Wisconsin,5813568
Wyoming_UnitedStates,JHU,United States,Wyoming,577737
Anguilla_UnitedKingdom,JHU,United Kingdom,Anguilla,15003
Bermuda_UnitedKingdom,JHU,United Kingdom,Bermuda,63973
