date,country,pct_ili,pct_cli,pct_tested,region
2020-05-03,Qatar,1.14,1.72,1.72,
2020-05-03,Romania,0.38,0.38,0.28,
2020-05-03,Russia,1.64,1.89,0.93,
2020-05-03,Saudi Arabia,1.49,1.53,1.78,
2020-05-03,Senegal,2.04,0.68,1.57,
2020-05-03,Serbia,0.4,0.37,0.33,
2020-05-03,Singapore,0.04,0.04,0.46,
2020-05-03,Slovakia,0.4,0.61,0.45,
2020-05-03,Slovenia,0.33,0.62,0.19,
2020-05-03,South Africa,1.99,2.24,1.19,
2020-05-03,South Korea,0.61,0.8,0.13,
2020-05-03,Spain,0.75,0.84,0.93,
2020-05-03,Sri Lanka,0.77,0.91,0.28,
2020-05-03,Sudan,1.38,1.86,0.54,
2020-05-03,Sweden,2.4,2.7,0.49,
2020-05-03,Switzerland,0.21,0.24,0.74,
2020-05-03,Taiwan,0.25,0.28,0.15,
2020-05-03,Tanzania,3.37,3.28,0.88,
2020-05-03,Thailand,0.61,0.72,1.02,
2020-05-03,Tunisia,0.54,0.61,0.86,
2020-05-03,Turkey,0.59,0.58,0.49,
2020-05-03,Ukraine,0.96,1.14,0.29,
2020-05-03,United Arab Emirates,1.31,1.47,2.55,
2020-05-03,United Kingdom,1.02,1.1,0.9,
2020-05-03,Uruguay,0.7,0.75,0.45,
2020-05-03,Uzbekistan,0.58,0.58,0.26,
2020-05-03,Venezuela,0.54,0.65,0.63,
2020-05-03,Vietnam,0.4,0.42,1.1,
2020-05-03,Yemen,2.87,3.53,1.28,
2020-05-04,Afghanistan,8.41,9.42,5.61,
2020-05-04,Aland Islands,25.85,25.85,17.51,
2020-05-04,Albania,2.13,2.15,2.27,
2020-05-04,Algeria,1.44,1.43,0.63,
2020-05-04,American Samoa,3.33,3.33,2.21,
2020-05-04,Andorra,11.91,11.91,1.05,
2020-05-04,Angola,1.18,0.72,0.82,
2020-05-04,Argentina,0.49,0.55,0.25,
2020-05-04,Armenia,1.88,1.88,1.73,
2020-05-04,Australia,1.11,1.15,1.57,
2020-05-04,Austria,0.33,0.35,0.97,
2020-05-04,Azerbaijan,0.8,0.8,1.28,
2020-05-04,Bahamas,2.87,2.84,1.9,
2020-05-04,Bahrain,2.1,2.22,0.17,
2020-05-04,Bangladesh,2.56,2.79,1.36,
2020-05-04,Belarus,3.04,3.58,1.49,
2020-05-04,Belgium,0.66,0.68,1.1,
2020-05-04,Belize,0,0,0,
2020-05-04,Benin,1.5,2.03,1.29,
2020-05-04,Bolivia,1.25,1.66,0.3,
2020-05-04,Bosnia and Herzegovina,1.56,1.99,0.37,
2020-05-04,Botswana,1.42,0.76,0,
2020-05-04,Brazil,2.23,2.39,0.67,
2020-05-04,Bulgaria,0.33,0.4,0.61,
2020-05-04,Burkina Faso,2.93,3.48,0.36,
2020-05-04,Cambodia,3.45,3.98,1.77,
2020-05-04,Cameroon,1.96,2.04,3.75,
2020-05-04,Canada,0.66,0.67,0.95,
2020-05-04,Chile,0.63,0.77,0.73,
2020-05-04,Colombia,0.82,1.05,0.15,
2020-05-04,Costa Rica,0.79,1.12,0.2,
2020-05-04,Croatia,0.72,0.63,0.43,
2020-05-04,Czech Republic,0.39,0.41,1.09,
2020-05-04,Côte d'Ivoire,1.08,1.28,2.74,
2020-05-04,Democratic Republic of the Congo,2.47,3.08,4.73,
2020-05-04,Denmark,0.57,0.69,2.58,
2020-05-04,Dominica,9.09,12.15,5.33,
2020-05-04,Dominican Republic,1.24,1.2,0.52,
2020-05-04,Ecuador,3.71,4.25,1.27,
2020-05-04,Egypt,0.93,1.18,0.46,
2020-05-04,El Salvador,0.75,1.05,0.41,
2020-05-04,Ethiopia,0.52,0.52,1.67,
2020-05-04,Finland,1.11,1.18,1.18,
2020-05-04,France,0.77,0.91,0.75,
2020-05-04,Germany,0.31,0.31,0.75,
2020-05-04,Ghana,1.76,2.07,1.95,
2020-05-04,Greece,0.35,0.22,0.35,
2020-05-04,Guatemala,0.44,0.41,0.26,
